",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"178,""2016-05-24"",23.4013,48.10812,712.23999,119.379997,747.599976,44.608002,11.260131,13.345276,103.300003,37.424801"
"179,""2016-05-31"",23.000206,47.93343,726.72998,118.790001,730.059998,44.136002,11.372994,13.022408,100.739998,37.917885"
"180,""2016-06-07"",22.699381,46.103619,715.23999,113.949997,731.880005,43.574001,11.50827,12.238671,93.849998,37.708946"
"181,""2016-06-14"",22.177019,46.039257,714.01001,113.370003,706.130005,43.939999,11.697659,12.184677,93.800003,37.880222"
"182,""2016-06-21"",21.463438,44.531281,691.359985,108.970001,681.140015,39.709999,11.127039,10.960809,85.330002,36.869644"
"183,""2016-06-28"",22.361246,47.041504,725.679993,114.190002,710.25,43.299999,11.476295,11.78872,96.669998,37.998123"
"184,""2016-07-05"",22.615433,48.356396,753.780029,117.870003,727.200012,44.956001,12.794619,11.887708,94.669998,38.377102"
"185,""2016-07-12"",23.280043,49.616104,736.070007,119.370003,753.200012,45.25,13.028277,12.697621,98.809998,38.427628"
"186,""2016-07-19"",22.699381,52.163124,739.609985,121.629997,757.52002,46.001999,13.694818,12.931598,87.660004,38.377102"
"187,""2016-07-26"",24.730524,52.025185,767.73999,124.309998,800.940002,46.001999,13.953071,12.895598,94.370003,36.591717"
"188,""2016-08-02"",25.271544,53.386044,766.559998,125.260002,805.22998,45.231998,14.447442,13.615521,95.110001,36.583305"
"189,""2016-08-09"",25.668699,53.441208,768.48999,123.900002,805.960022,45.118,15.490295,13.516534,95.309998,37.257034"
"190,""2016-08-16"",25.441269,53.027435,759.47998,124.150002,796.950012,44.585999,15.377154,13.660518,95.260002,36.835957"
"191,""2016-08-23"",25.045033,53.755787,771.289978,126.540001,795.820007,43.040001,15.246797,14.254453,97.300003,36.667522"
"192,""2016-08-30"",25.258389,53.357933,772.440002,126.510002,796.869995,39.556,15.407956,14.398438,97.379997,36.768585"
"193,""2016-09-06"",24.721476,52.784294,771.48999,128.690002,798.820007,39.66,14.969348,14.375038,99.050003,36.372761"
"194,""2016-09-13"",26.629982,52.673267,775.099976,128.649994,795.390015,41.268002,15.688859,14.094769,98.059998,35.454823"
"195,""2016-09-20"",26.46586,52.645512,799.159973,127.309998,802.650024,41.798,15.853957,13.642724,94.559998,35.702019"
"196,""2016-09-27"",26.381454,53.126629,836.73999,128.770004,800.380005,42.740002,16.866697,14.130934,102.629997,35.685043"
"197,""2016-10-04"",27.209099,53.700272,841.710022,130.240005,814.169983,40.189999,16.534042,14.736671,103.330002,35.430336"
"198,""2016-10-11"",27.560793,52.941593,812.950012,127.540001,806.840027,38.792,16.166895,14.510652,99.800003,35.319954"
"199,""2016-10-18"",27.584236,56.438961,838.090027,133.279999,835.73999,40.551998,17.423578,15.161593,127.330002,36.13504"
"200,""2016-10-25"",26.620604,55.439713,789.820007,130.990005,809.900024,39.546001,17.53447,14.917493,124.870003,35.999191"
"201,""2016-11-01"",25.886742,55.902306,784.929993,122.150002,802.030029,38.641998,17.561571,15.378582,124.580002,36.050133"
"202,""2016-11-08"",24.912027,53.7743,719.070007,115.080002,753.219971,36.290001,20.609655,18.154139,113.379997,34.954865"
"203,""2016-11-15"",26.330729,56.309422,780,121.769997,784.799988,36.903999,22.91111,18.380159,117.959999,35.116199"
"204,""2016-11-22"",26.293022,56.456951,766.77002,120.410004,785.789978,39.223999,23.189554,18.353035,116.93,35.447323"
"205,""2016-11-29"",25.713291,56.09367,759.359985,117.43,778.219971,37.360001,22.673952,19.745333,119.160004,34.4879"
